id,sanctions_translated,sanctions_lemmatized,final_label
interpol-red-2012-313014,"""1) child abuse
2) sexual offense in the second degree
3) sexual offense in the third degree
4) perverted sexual practice
5) battery
6) assault""",child abuse sexual offense in the degree sexual offense in the degree perverted sexual practice battery assault,sexual crime
interpol-red-2012-324783,"""1) rape in the first degree
2) sodomy in the first degree
3) attempted sodomy in the first degree
4) unlawful sexual penetration in the first degree
5) sexual abuse in the second degree (2 counts)
6) sexual abuse in the third degree
7) assault in the fourth degree (4 counts)""",rape in the degree sodomy in the degree attempt sodomy in the degree unlawful sexual penetration in the degree sexual abuse in the degree count sexual abuse in the degree assault in the degree count,sexual crime
interpol-red-2012-332849,sexual assault,sexual assault,sexual crime
interpol-red-2012-333038,"""1) first degree rape of a child (8 counts) 
2) second degree rape of a child (3 counts)""",degree rape of a child count degree rape of a child count,sexual crime
interpol-red-2012-348973,"""1) receipt and distribution of child pornography
2) possession of child pornography""",receipt and distribution of child pornography possession of child pornography,sexual crime
interpol-red-2013-12965,abuse of official powers,abuse of official power,sexual crime
interpol-red-2013-13323,"""- robbery with aggravation 
- rape
- grievous sexual assault
- abduction""",robbery with aggravation rape grievous sexual assault abduction,sexual crime
interpol-red-2013-26078,"fraud, aggravated theft, assault",fraud aggravate theft assault,sexual crime
interpol-red-2013-3337,"art. 110, 81 penal code and art. 73, 80 d.p.r 309/90",art penal code and art d.p.r,sexual crime
interpol-red-2013-34497,"""1) murder, illegal possession of a gun; 2)sexual exploitation of minors""",murder illegal possession of a gun 2)sexual exploitation of minor,sexual crime
interpol-red-2013-40649,violent theft,violent theft,sexual crime
interpol-red-2013-43204,"""1) possession of child pornography 
2) distribution of child pornography""",possession of child pornography distribution of child pornography,sexual crime
interpol-red-2013-70774,"""trafficking in women
trafficking in children""",traffic in woman trafficking in child,sexual crime
interpol-red-2013-72508,child stealing (3 counts),child steal count,sexual crime
interpol-red-2013-8430,transportation with intent to engage in criminal sexual activity,transportation with intent to engage in criminal sexual activity,sexual crime
interpol-red-2014-10736,distribution of child pornography,distribution of child pornography,sexual crime
interpol-red-2014-13704,"""1) sex abuse of a minor 
2) conspiracy sex abuse of a minor 
3) sexual solicitation of a minor 
4) sex offense in the third degree (2 counts) 
5) human trafficking of a minor (2 counts) 
6) conspiracy human trafficking of a minor (3 counts) 
7) rape in the second degree  
8) attempted sex offense in the third degree 
9) conspiracy to commit sex offense in the third degree""",sex abuse of a minor conspiracy sex abuse of a minor sexual solicitation of a minor sex offense in the degree count human trafficking of a minor count conspiracy human trafficking of a minor count rape in the degree 8) attempt sex offense in the degree conspiracy to commit sex offense in the degree,sexual crime
interpol-red-2014-16691,"""1) sexual activity with a child (3 counts)
2) lewd or lascivious molestation
3) impregnating a child under 16 by a person 21 or older""",sexual activity with a child count lewd or lascivious molestation impregnate a child under by a person or old,sexual crime
interpol-red-2014-18409,continued criminal pffence of corporate fraud,continue criminal pffence of corporate fraud,sexual crime
interpol-red-2014-24210,aggravated sexual assault of a child (4 counts),aggravate sexual assault of a child count,sexual crime
interpol-red-2014-25540,"""1) sexual assault
2) first degree burglary (2 counts)""",sexual assault degree burglary count,sexual crime
interpol-red-2014-2905,"""1) rape; 
2) violent sexual actions""",rape violent sexual action,sexual crime
interpol-red-2014-31584,sexual abuse in the first degree (2 counts),sexual abuse in the degree count,sexual crime
interpol-red-2014-41216,rape with using violence against minor victim,rape with use violence against minor victim,sexual crime
interpol-red-2014-4205,aggravated felonious sexual assault (3 counts),aggravate felonious sexual assault count,sexual crime
interpol-red-2014-42201,"“organized gang fraud.
organized gang laundering.""",organized gang fraud organize gang laundering,sexual crime
interpol-red-2014-43094,constitution of a criminal organized group and traffic in drugs,constitution of a criminal organize group and traffic in drug,sexual crime
interpol-red-2014-55682,rape of a girl victim who has not reached the age of fourteen years which has entailed which has entailed grave consequences. - rape of minor,rape of a girl victim who have not reach the age of year which have entail which have entail grave consequence rape of minor,sexual crime
interpol-red-2014-58818,"illegal trading in narcotics (soft and hard drugs), money laundering and assualt.",illegal trading in narcotic soft and hard drug money laundering and assualt,sexual crime
interpol-red-2014-70800,lewd or lascivious act on a child under 14 years of age (5 counts),lewd or lascivious act on a child under year of age count,sexual crime
interpol-red-2014-75615,aggravated sexual assault,aggravate sexual assault,sexual crime
interpol-red-2015-11140,"""1-extortion in its aggravated form
2-illicit groups""",extortion in its aggravate form illicit group,sexual crime
interpol-red-2015-22229,swindling and money laundering,swindling and money laundering,sexual crime
interpol-red-2015-28097,"""restriction of personal freedom in the form of grave act
theft""",restriction of personal freedom in the form of grave act theft,sexual crime
interpol-red-2015-31521,"sexual actions against minors committed by a group of persons under a preliminary conspiracy, depraved actions without using violence against minors, involvement of a minor in the commission of a crime by a group of persons under a preliminary conspiracy.",sexual action against minor commit by a group of person under a preliminary conspiracy depraved action without use violence against minor involvement of a minor in the commission of a crime by a group of person under a preliminary conspiracy,sexual crime
interpol-red-2015-33430,"""1) for having had sexual relations with a child under the age of 10. 2) engaging in sexual activity with
a fosterchild,
child in his care, stepchild
or any other person under 18 years of age who is under his
care, or subject to his authority or supervision. 3) by word or deed having behaved in a sexually
offensive or otherwise indecent manner towards a child under 16 years of age.""",for have have sexual relation with a child under the age of engage in sexual activity with a fosterchild child in his care stepchild or any other person under year of age who be under his care or subject to his authority or supervision by word or deed have behave in a sexually offensive or otherwise indecent manner towards a child under year of age,sexual crime
interpol-red-2015-36908,money laundering and fraudulent conversion,money laundering and fraudulent conversion,sexual crime
interpol-red-2015-39349,tax evasion,tax evasion,sexual crime
interpol-red-2015-43684,"""constitution of a criminal organized group;
instigation to counterfeiting of a trade mark;
instigation to tax evasion;
tax evasion;
money laundering.""",constitution of a criminal organize group instigation to counterfeiting of a trade mark instigation to tax evasion tax evasion money laundering,sexual crime
interpol-red-2015-51039,"""constitution of a criminal organized group;
counterfeiting of a trade mark;
instigation to tax evasion;
owning products outside of the fiscal warehouse, which were supposed to be mark, and without appropriate markers over the limit of 10000 cigarettes;
money laundering.""",constitution of a criminal organize group counterfeiting of a trade mark instigation to tax evasion own product outside of the fiscal warehouse which be suppose to be mark and without appropriate marker over the limit of cigarette money laundering,sexual crime
interpol-red-2015-52130,"setting up an organized criminal group, tax evasion, instigation to money laudering - setting up an organized criminal group, tax evasion, instigation to tax evasion, money laundering",set up an organize criminal group tax evasion instigation to money laudering set up an organize criminal group tax evasion instigation to tax evasion money laundering,sexual crime
interpol-red-2015-5954,"""1)rape of minor committed with threat of violence or death; 
2)violent sexual actions against minor""",1)rape of minor commit with threat of violence or death 2)violent sexual action against minor,sexual crime
interpol-red-2015-69742,"""1) rape of an unconscious victim
2) sexual assault""",rape of an unconscious victim sexual assault,sexual crime
interpol-red-2015-80140,"section 3 of pmla-offence of money laundering, section 4 of pmla-punishment for money laundering.",section of pmla offence of money laundering section of pmla punishment for money laundering,sexual crime
interpol-red-2015-80235,"sexual assault, sexual interference and invitation to sexual touching under 16 years of age",sexual assault sexual interference and invitation to sexual touching under year of age,sexual crime
interpol-red-2015-80935,"""identity theft - 1) sexual abuse, second degree (5 counts)
2) lascivious acts with a child""",identity theft sexual abuse degree count lascivious act with a child,sexual crime
interpol-red-2015-85375,robbery with assault by an armed gang group,robbery with assault by an armed gang group,sexual crime
interpol-red-2016-10434,"""1) lewd or lascivious act upon a child under 14 (2 counts) 
2) aggravated sexual assault of a child under 14, and 10 or more years younger than the perpetrator
3) oral copulation or sexual penetration with a child 10 years of age or younger
4) oral copulation with a child under 14, and more than 10 years younger than the perpetrator (2 counts)""",lewd or lascivious act upon a child under count aggravate sexual assault of a child under and or more year young than the perpetrator oral copulation or sexual penetration with a child year of age or young oral copulation with a child under and more than year young than the perpetrator count,sexual crime
interpol-red-2016-17669,- organized gang fraud - organized gang laundering of fraud committed by an organized gang,organize gang fraud organize gang laundering of fraud commit by an organized gang,sexual crime
interpol-red-2016-25390,violent sexual actions,violent sexual action,sexual crime
interpol-red-2016-34514,aggravated extortion,aggravate extortion,sexual crime
interpol-red-2016-3632,"illegal immigration, illegal detention, crime related to prostitution",illegal immigration illegal detention crime relate to prostitution,sexual crime
interpol-red-2016-38119,aggravated extortion,aggravate extortion,sexual crime
interpol-red-2016-41818,money and asset laundering,money and asset laundering,sexual crime
interpol-red-2016-49370,promotion and facilitation of prostitution of elderly people in real competition with aggravated economic exploitation of the exercise of prostitution of people,promotion and facilitation of prostitution of elderly people in real competition with aggravate economic exploitation of the exercise of prostitution of people,sexual crime
interpol-red-2016-49661,•sexual exploitation of children and child pornography,•sexual exploitation of child and child pornography,sexual crime
interpol-red-2016-5637,"illegal deprivation of liberty committed by a public official aggravated by being committed with violence and threats, torture aggravated by being exercised against persecuted politicians and illicit association.",illegal deprivation of liberty commit by a public official aggravate by be commit with violence and threat torture aggravate by be exercise against persecute politician and illicit association,sexual crime
interpol-red-2016-58011,rape of a minor under 14 years of age,rape of a minor under year of age,sexual crime
interpol-red-2016-58272,a crime of assistance to money laundering,a crime of assistance to money laundering,sexual crime
interpol-red-2016-64507,"""-fraud carried out by an organized gang on repeat
-aggravated laundering: assistance in an investment operation, concealment or conversion of the proceeds of a crime or misdemeanor 
- taking the name of a third party - - fraud carried out by an organized gang
- aggravated money laundering: organized gang competition for an operation of placement, concealment or conversion of the proceeds of a crime""",-fraud carry out by an organize gang on repeat -aggravated laundering assistance in an investment operation concealment or conversion of the proceed of a crime or misdemeanor take the name of a party fraud carry out by an organized gang aggravate money laundering organize gang competition for an operation of placement concealment or conversion of the proceed of a crime,sexual crime
interpol-red-2016-66281,"rape, violent actions of sexual character, robbery",rape violent action of sexual character robbery,sexual crime
interpol-red-2016-68745,"sexual actions against minors, violant sexual actions against minors, rape",sexual action against minor violant sexual action against minor rape,sexual crime
interpol-red-2016-70047,"""1. constitute an organized criminal group; 2. trafficking in persons; 3. trafficking in minors""",constitute an organize criminal group traffic in person traffic in minor,sexual crime
interpol-red-2016-90644,crime of illegal fundraising by fraudulent means,crime of illegal fundraising by fraudulent mean,sexual crime
interpol-red-2017-11434,self-concealment,self concealment,sexual crime
interpol-red-2017-136519,aggravated scam,aggravate scam,sexual crime
interpol-red-2017-142853,scam,scam,sexual crime
interpol-red-2017-143004,breaching regulations on loan provision in the operations of credit institutions,breach regulation on loan provision in the operation of credit institution,sexual crime
interpol-red-2017-144705,breaching regulations on loan provision in the operations of credit institutions,breach regulation on loan provision in the operation of credit institution,sexual crime
interpol-red-2017-173322,participation in illegal art formation,participation in illegal art formation,sexual crime
interpol-red-2017-17383,assassination attempt,assassination attempt,sexual crime
interpol-red-2017-188066,aggravated extortion,aggravate extortion,sexual crime
interpol-red-2017-190025,participation in illegal art formation,participation in illegal art formation,sexual crime
interpol-red-2017-190101,aggravated scam,aggravate scam,sexual crime
interpol-red-2017-198727,"""criminal association.
money laundering.""",criminal association money laundering,sexual crime
interpol-red-2017-200703,proposition and conspiracy in the crime of aggravated homicide,proposition and conspiracy in the crime of aggravate homicide,sexual crime
interpol-red-2017-202315,child exploited in prostitution and other sexual abuse - used of trafficked persons,child exploit in prostitution and other sexual abuse use of traffic person,sexual crime
interpol-red-2017-205153,proposition and conspiracy in the crime of aggravated homicide and illicit groups,proposition and conspiracy in the crime of aggravate homicide and illicit group,sexual crime
interpol-red-2017-205189,proposition and conspiracy in the crime of aggravated homicide and illicit groups.,proposition and conspiracy in the crime of aggravate homicide and illicit group,sexual crime
interpol-red-2017-205197,proposition and conspiracy in the crime of aggravated homicide and illicit groups,proposition and conspiracy in the crime of aggravate homicide and illicit group,sexual crime
interpol-red-2017-205521,extortion in its aggravated form,extortion in its aggravate form,sexual crime
interpol-red-2017-205885,extortion in its aggravated form,extortion in its aggravate form,sexual crime
interpol-red-2017-234477,"terrorist organizations, aggravated homicide, proposition and conspiracy in the crime of aggravated homicide, deprivation of liberty with special aggravation and aggravated extortion",terrorist organization aggravate homicide proposition and conspiracy in the crime of aggravate homicide deprivation of liberty with special aggravation and aggravate extortion,sexual crime
interpol-red-2017-234809,crime of extortion under the bankruptcy modality of continued crime,crime of extortion under the bankruptcy modality of continue crime,sexual crime
interpol-red-2017-234828,crime of extortion under the bankruptcy modality of continued crime,crime of extortion under the bankruptcy modality of continue crime,sexual crime
interpol-red-2017-234836,crime of extortion under the bankruptcy modality of continued crime,crime of extortion under the bankruptcy modality of continue crime,sexual crime
interpol-red-2017-254855,aggravated sexual assault on a minor or incapacitated person in the form of a continuing crime.,aggravate sexual assault on a minor or incapacitated person in the form of a continue crime,sexual crime
interpol-red-2017-255622,"""extortion, proposition and conspiracy in the crime of aggravated homicide; terrorist organizations.""",extortion proposition and conspiracy in the crime of aggravate homicide terrorist organization,sexual crime
interpol-red-2017-255972,aggravated extortion,aggravate extortion,sexual crime
interpol-red-2017-256804,aggravated extortion,aggravate extortion,sexual crime
interpol-red-2017-281724,aggravated extortion,aggravate extortion,sexual crime
interpol-red-2017-282272,terrorist organizations and aggravated extortion,terrorist organization and aggravate extortion,sexual crime
interpol-red-2017-283011,aggravated extortion,aggravate extortion,sexual crime
interpol-red-2017-4590,sexual assault and rape in real contest,sexual assault and rape in real contest,sexual crime
interpol-red-2018-102928,"""- pimping aggravates: plurality of victims
- human trafficking committed against several people
- aggravated money laundering: organized gang competition for an operation of placement, concealment or conversion of the proceeds of a crime""",pimp aggravate plurality of victim human trafficking commit against several people aggravate money laundering organize gang competition for an operation of placement concealment or conversion of the proceed of a crime,sexual crime
interpol-red-2018-14553,rape of a minor or incapable and pornography,rape of a minor or incapable and pornography,sexual crime
interpol-red-2018-15732,"""a sexual intercourse with the use of violence or of a threat;
a rape committed by a group of persons;
violent actions of sexual character""",a sexual intercourse with the use of violence or of a threat a rape commit by a group of person violent action of sexual character,sexual crime
interpol-red-2018-16674,rape of a minor or incapable,rape of a minor or incapable,sexual crime
interpol-red-2018-30915,"criminal offence organising terrorist group foreseen by art. 202d section 2  of criminal code of bosnia and herzegovina in connection with criminal offence of terrorism, foreseen by art. 201 of criminal code of bosnia and herzegovina.",criminal offence organise terrorist group foresee by art 202d section of criminal code of bosnia and herzegovina in connection with criminal offence of terrorism foresee by art of criminal code of bosnia and herzegovina,sexual crime
interpol-red-2018-36558,"illicit association, laundering of money or other assets, fraud, active bribery, influence peddling.",illicit association laundering of money or other asset fraud active bribery influence peddling,sexual crime
interpol-red-2018-3936,"preparatory acts, proposition, conspiracy and criminal associations",preparatory act proposition conspiracy and criminal association,sexual crime
interpol-red-2018-4283,"illicit trafficking, illicit groups, proposition and conspiracy in the crime of aggravated homicide.",illicit trafficking illicit group proposition and conspiracy in the crime of aggravate homicide,sexual crime
interpol-red-2018-4297,"illicit trafficking in firearms, illicit groups, preparatory acts, proposition, conspiracy, and criminal associations.",illicit trafficking in firearm illicit group preparatory act proposition conspiracy and criminal association,sexual crime
interpol-red-2018-45757,aggravated extortion in its form of continued crime,aggravate extortion in its form of continue crime,sexual crime
interpol-red-2018-45763,aggravated extortion in its form of continued crime,aggravate extortion in its form of continue crime,sexual crime
interpol-red-2018-45765,aggravated extortion in its form of continued crime,aggravate extortion in its form of continue crime,sexual crime
interpol-red-2018-461,aggravated scam,aggravate scam,sexual crime
interpol-red-2018-46971,"""terrorist organizations
aggravated extortion
""proposal and conspiracy in the crime of aggravated murder""",terrorist organization aggravate extortion proposal and conspiracy in the crime of aggravate murder,sexual crime
interpol-red-2018-48573,aggravated extortion in its form of continued crime,aggravate extortion in its form of continue crime,sexual crime
interpol-red-2018-48577,aggravated extortion in its form of continued crime,aggravate extortion in its form of continue crime,sexual crime
interpol-red-2018-59593,rape and domestic violence against women.,rape and domestic violence against woman,sexual crime
interpol-red-2018-62110,"illicit trafficking, preparatory acts, proposition, conspiracy and criminal associations.",illicit trafficking preparatory act proposition conspiracy and criminal association,sexual crime
interpol-red-2018-63893,illicit association and laundering of money or other assets,illicit association and laundering of money or other asset,sexual crime
interpol-red-2018-68413,money laundering,money laundering,sexual crime
interpol-red-2018-71264,money and asset laundering and terrorist organizations,money and asset laundering and terrorist organization,sexual crime
interpol-red-2018-77739,"""proposition and conspiracy in the crime of aggravated homicide. 
terrorist organizations. 
illicit trafficking in firearms with alternative classification of supply of weapons, ammunition, explosives, items similar to illicit groups or organized crime.""",proposition and conspiracy in the crime of aggravate homicide terrorist organization illicit trafficking in firearm with alternative classification of supply of weapon ammunition explosive item similar to illicit group or organize crime,sexual crime
interpol-red-2018-92635,- organized gang fraud,organize gang fraud,sexual crime
interpol-red-2018-98367,"assault x2, mischief, sexual assault x2, sexual interference, incest x2, breach of undertaking x2, breach of recognizance x2",assault x2 mischief sexual assault x2 sexual interference incest x2 breach of undertaking x2 breach of recognizance x2,sexual crime
interpol-red-2019-100261,scam,scam,sexual crime
interpol-red-2019-100592,""". participation in a criminal association with a view to preparing a crime 
. concealment by an organized gang of property resulting from a crime (organized gang theft) - 1) concealment of property resulting from a theft aggravated by two circumstances
2) participation in a criminal association with a view to preparing a common offense of at least 5 years of imprisonment.""",participation in a criminal association with a view to prepare a crime concealment by an organized gang of property result from a crime organize gang theft concealment of property result from a theft aggravate by circumstance participation in a criminal association with a view to prepare a common offense of at least year of imprisonment,sexual crime
interpol-red-2019-103493,"""-active corruption: proposal or provision of an advantage to a person holding public authority - -organized gang fraud
- aggravated money laundering: organized gang assistance in falsely justifying the origin of the property or income of the perpetrator of a crime
-aggravated money laundering: organized gang competition for an operation of placement, concealment or conversion of the proceeds of a crime""",-active corruption proposal or provision of an advantage to a person hold public authority -organize gang fraud aggravate money laundering organize gang assistance in falsely justify the origin of the property or income of the perpetrator of a crime -aggravate money laundering organize gang competition for an operation of placement concealment or conversion of the proceed of a crime,sexual crime
interpol-red-2019-105780,repeated crimes of sexual abuse (violent indecent assault),repeat crime of sexual abuse violent indecent assault,sexual crime
interpol-red-2019-112634,wire fraud (3 counts) - engaging in illicit sexual conduct in a foreign place (7 counts),wire fraud count engage in illicit sexual conduct in a foreign place count,sexual crime
interpol-red-2019-114859,"""rape;sexual assault""",rape;sexual assault,sexual crime
interpol-red-2019-121669,aggravated extortion,aggravate extortion,sexual crime
interpol-red-2019-127889,"""- criminal association with a view to preparing an offense punishable by 10 years of imprisonment - - organized gang fraud
- aggravated whitening""",criminal association with a view to prepare an offense punishable by year of imprisonment organize gang fraud aggravate whitening,sexual crime
interpol-red-2019-131394,attempted rape of a minor or incapable,attempt rape of a minor or incapable,sexual crime
interpol-red-2019-131600,proposition and conspiracy in the crime of aggravated homicide.,proposition and conspiracy in the crime of aggravate homicide,sexual crime
interpol-red-2019-17157,"preparatory acts, proposition, conspiracy and criminal associations.",preparatory act proposition conspiracy and criminal association,sexual crime
interpol-red-2019-17182,"preparatory acts, proposition, conspiracy and criminal associations.",preparatory act proposition conspiracy and criminal association,sexual crime
interpol-red-2019-17184,"preparatory acts, proposition, conspiracy and criminal associations.",preparatory act proposition conspiracy and criminal association,sexual crime
interpol-red-2019-21543,aggravated extortion and terrorist organizations,aggravate extortion and terrorist organization,sexual crime
interpol-red-2019-25047,"""Law 599 of 2000 - Colombian penal code - title II - crimes against persons and property protected by international humanitarian law - sole chapter

• article 162 of the Colombian penal code, illicit recruitment, will incur a prison sentence of six (6) to ten (10) years and a fine of six hundred (600) to one thousand (1,000) current legal monthly minimum wages.

title xviii.
of crimes against the constitutional and legal regime
single chapter.
of rebellion, sedition and riot
article 467. rebellion.""",law of colombian penal code title ii crime against person and property protect by international humanitarian law sole chapter article of the colombian penal code illicit recruitment will incur a prison sentence of to year and a fine of to current legal monthly minimum wage title xviii of crime against the constitutional and legal regime single chapter of rebellion sedition and riot article rebellion,sexual crime
interpol-red-2019-31207,"money laundering, illegal transfer of firearms.",money laundering illegal transfer of firearm,sexual crime
interpol-red-2019-32192,"illicit groups, proposition and conspiracy of the crime of extortion.",illicit group proposition and conspiracy of the crime of extortion,sexual crime
interpol-red-2019-32582,"illicit groups preparatory acts, proposition, conspiracy and criminal associations.",illicit group preparatory act proposition conspiracy and criminal association,sexual crime
interpol-red-2019-35295,aggravated extortion,aggravate extortion,sexual crime
interpol-red-2019-36532,proposition and conspiracy in the crime of aggravated homicide,proposition and conspiracy in the crime of aggravate homicide,sexual crime
interpol-red-2019-37002,aggravated extortion and terrorist organizations,aggravate extortion and terrorist organization,sexual crime
interpol-red-2019-42683,"""1. three counts of furnishing false or misleading information to the bermuda montary authority

2. one count of fraudulent inducement to invest

3. one count of removal of criminal property from bermuda""",count of furnish false or mislead information to the bermuda montary authority count of fraudulent inducement to invest count of removal of criminal property from bermuda,sexual crime
interpol-red-2019-45324,"pederasty, lesbianism, or any other sexual actions with the use of violence or with the threat of its use against the victim or against other persons, or with the taking advantage of the helpless condition of the victim, have been committed against a person who obviously has not attained 14 years of age",pederasty lesbianism or any other sexual action with the use of violence or with the threat of its use against the victim or against other person or with the taking advantage of the helpless condition of the victim have be commit against a person who obviously have not attain year of age,sexual crime
interpol-red-2019-51446,continued aggravated rape of a minor or incapable,continue aggravate rape of a minor or incapable,sexual crime
interpol-red-2019-52141,child sexual exploitation and child pornography,child sexual exploitation and child pornography,sexual crime
interpol-red-2019-52444,money laundering from illicit drug trafficking.,money laundering from illicit drug trafficking,sexual crime
interpol-red-2019-56338,"manslaughter, murder, assault and battery",manslaughter murder assault and battery,sexual crime
interpol-red-2019-60325,scam,scam,sexual crime
interpol-red-2019-61325,rape of a minor or incapacitated person in a continuous mode,rape of a minor or incapacitated person in a continuous mode,sexual crime
interpol-red-2019-71708,extortion,extortion,sexual crime
interpol-red-2019-72149,illicit association as co-author and extortion as necessary participant.,illicit association as co author and extortion as necessary participant,sexual crime
interpol-red-2019-73228,"""Law 599 of 2000 - Colombian penal code - title II - crimes against persons and property protected by international humanitarian law - sole chapter

• article 162 of the Colombian penal code, illicit recruitment, will incur a prison sentence of six (6) to ten (10) years and a fine of six hundred (600) to one thousand (1,000) current legal monthly minimum wages.

title xviii.
of crimes against the constitutional and legal regime
single chapter.
of rebellion, sedition and riot
article 467. rebellion.""",law of colombian penal code title ii crime against person and property protect by international humanitarian law sole chapter article of the colombian penal code illicit recruitment will incur a prison sentence of to year and a fine of to current legal monthly minimum wage title xviii of crime against the constitutional and legal regime single chapter of rebellion sedition and riot article rebellion,sexual crime
interpol-red-2019-77024,scam,scam,sexual crime
interpol-red-2019-80878,aggravated homicide for being committed against his ex-partner and for having mediated attempted gender violence in real competition with threats.,aggravate homicide for be commit against his ex partner and for have mediate attempt gender violence in real competition with threat,sexual crime
interpol-red-2019-88258,"serious injuries aggravated by the relationship and by mediating gender violence and by having caused a permanent deformation of the face, which materially coincides with injuries aggravated by the relationship and by having mediated gender violence and injuries aggravated by the relationship and by having mediated gender violence in ideal competition with coercive threats.",serious injury aggravate by the relationship and by mediate gender violence and by have cause a permanent deformation of the face which materially coincide with injury aggravate by the relationship and by have mediate gender violence and injury aggravate by the relationship and by have mediate gender violence in ideal competition with coercive threat,sexual crime
interpol-red-2020-11822,against life and personal integrity,against life and personal integrity,sexual crime
interpol-red-2020-13678,rape of a minor,rape of a minor,sexual crime
interpol-red-2020-27853,extortion,extortion,sexual crime
interpol-red-2020-5693,aggravated extortion,aggravate extortion,sexual crime
interpol-red-2020-57782,sexual intercouse with a person under the age of 16 years old,sexual intercouse with a person under the age of year old,sexual crime
interpol-red-2020-74259,possession of child pornography for distribution purposes in real competition among themselves,possession of child pornography for distribution purpose in real competition among themselves,sexual crime
interpol-red-2020-817,aggravated extortion,aggravate extortion,sexual crime
interpol-red-2020-8999,"1) rape of a minor or incapacitated person, aggravated in the form of a continuing crime. 2) sexual assault on a minor and incapable aggravated in the form of a continuing crime. 3) pornography.",rape of a minor or incapacitated person aggravate in the form of a continue crime sexual assault on a minor and incapable aggravate in the form of a continue crime pornography,sexual crime
interpol-red-2020-9361,aggravated extortion in the form of a continuing crime and terrorist organizations,aggravate extortion in the form of a continue crime and terrorist organization,sexual crime
interpol-red-2021-17725,wrongful shipwreck aggravated by the death of two adults and the disappearance of two minors.,wrongful shipwreck aggravate by the death of adult and the disappearance of minor,sexual crime
interpol-red-2021-17733,wrongful shipwreck aggravated by the death of two adults and the disappearance of two minors.,wrongful shipwreck aggravate by the death of adult and the disappearance of minor,sexual crime
interpol-red-2021-17735,wrongful shipwreck aggravated by the death of two adults and the disappearance of two minors.,wrongful shipwreck aggravate by the death of adult and the disappearance of minor,sexual crime
interpol-red-2021-1785,"Homicide aggravated by the relationship and by being a woman mediating gender violence, at an attempted level.",homicide aggravate by the relationship and by be a woman mediate gender violence at an attempt level,sexual crime
interpol-red-2021-17893,"""rape of a 15 year old minor
sexual assault on a 15-year-old minor",rape of a year old minor sexual assault on a year old minor,sexual crime
interpol-red-2021-23473,homicide aggravated by the relationship and by being perpetrated by a man against a woman and mediating gender violence,homicide aggravate by the relationship and by be perpetrate by a man against a woman and mediate gender violence,sexual crime
interpol-red-2021-29126,"""1/ organized gang import and export of narcotics: crime 
2/ importation, transport, detention, smuggling of prohibited goods dangerous to health (narcotics): offense 
3/ detention, transport, acquisition, offer or transfer of narcotics: offense 
4/ laundering of narcotics: offense 
5/ kidnapping and sequestration without voluntary release committed by an organized gang: crime 
6/ intentional violence resulting in total incapacity for work of less than or equal to 8 days committed in a meeting, with premediation, by a person hiding their face: offense 
7/ theft with violence in a meeting leading to total incapacity for work of less than or equal to 8 days: offense 
8/ criminal association: offense""",1/ organize gang import and export of narcotic crime 2/ importation transport detention smuggling of prohibit good dangerous to health narcotic offense 3/ detention transport acquisition offer or transfer of narcotic offense 4/ laundering of narcotic offense 5/ kidnapping and sequestration without voluntary release commit by an organized gang crime 6/ intentional violence result in total incapacity for work of less than or equal to day commit in a meeting with premediation by a person hide their face offense 7/ theft with violence in a meeting lead to total incapacity for work of less than or equal to day offense 8/ criminal association offense,sexual crime
interpol-red-2021-37445,"""sexual assault on a minor and incapable and
rape of a minor and incapable""",sexual assault on a minor and incapable and rape of a minor and incapable,sexual crime
interpol-red-2021-40287,"""- organized gang VAT fraud 
- aggravated money laundering (committed in an organized fraud gang) of fraud committed in an organized gang
- false: fraudulent alteration of the truth in a writing
- use of forgery in writing
- fraudulently obtaining an administrative document establishing a right, identity or status or granting an authorization
- active corruption of a foreign public official""",organize gang vat fraud aggravate money laundering commit in an organize fraud gang of fraud commit in an organized gang false fraudulent alteration of the truth in a writing use of forgery in writing fraudulently obtain an administrative document establish a right identity or status or grant an authorization active corruption of a foreign public official,sexual crime
interpol-red-2021-46283,aggravated extortion and terrorist organizations,aggravate extortion and terrorist organization,sexual crime
interpol-red-2021-55177,sexual assault on a minor and incapable aggravated under the modality of a continuing crime.,sexual assault on a minor and incapable aggravate under the modality of a continue crime,sexual crime
interpol-red-2021-63865,aggravated rape of a minor or incapable,aggravate rape of a minor or incapable,sexual crime
interpol-red-2021-66971,aggravated extortion,aggravate extortion,sexual crime
interpol-red-2021-67423,aggravated extortion,aggravate extortion,sexual crime
interpol-red-2021-67429,aggravated extortion,aggravate extortion,sexual crime
interpol-red-2021-68096,"aggravated extortion, under the modality of a continuing crime",aggravate extortion under the modality of a continue crime,sexual crime
interpol-red-2021-68108,"aggravated extortion, under the modality of a continuing crime",aggravate extortion under the modality of a continue crime,sexual crime
interpol-red-2021-68118,"aggravated extortion, under the modality of a continued crime",aggravate extortion under the modality of a continue crime,sexual crime
interpol-red-2021-68811,"transfer and reception of minors for the purposes of sexual exploitation aggravated by the participation of three or more people, as co-authors",transfer and reception of minor for the purpose of sexual exploitation aggravate by the participation of or more people as co author,sexual crime
interpol-red-2021-69577,Threats with special aggravation and other sexual assaults in the form of a continuing crime,threat with special aggravation and other sexual assault in the form of a continue crime,sexual crime
